BusinessUnit,CustomerNo,Salesperson,OrderLines,DiscountEUR,CategoryCode,CategoryLabel,CustCatDiscountEUR,PctOfCustomer
DK,44951095,SEC-DK,1,222.1240359897172,PA2_Manually,Manual Price Change,1283.0456573066153,17.31
DK,44953837,B2B-DK,13,109.89848594967503,PA2_Manually,Manual Price Change,109.89848594967503,100.0
DK,45161655,B2B-DK,8,-13.502762216450742,PA2_Manually,Manual Price Change,-13.502762216450742,100.0
DK,45281222,DKR-DK,1,132.72912532847107,PA2_Manually,Manual Price Change,132.72912532847107,100.0
DK,4543322540,LBN-DK,1,12.735950235950225,PA2_Manually,Manual Price Change,177.9091677507069,7.16
DK,4543322540,LVE-DK,2,4.289429237822046,PA2_Manually,Manual Price Change,177.9091677507069,2.41
DK,4543322540,RET-DK,1,160.88378827693464,PA2_Manually,Manual Price Change,177.9091677507069,90.43
DK,4562263840,B2B-DK,4,38.66201903740441,PA2_Manually,Manual Price Change,38.66201903740441,100.0
DK,4570230903,LVE-DK,13,4066.8852240473752,PA2_Manually,Manual Price Change,4066.8852240473752,100.0
DK,45859859,B2B-DK,3,84.51719693600555,PA2_Manually,Manual Price Change,84.51719693600555,100.0
DK,45869500A,JMU-DK,310,38754.57570865933,PA2_Manually,Manual Price Change,38754.57570865933,100.0
